unix_epoch_at_the_start_of_averaging_period,average_price_in_usd,symbol
1.715922e+09,2948.1450000000013,ETH
1.7159184e+09,2953.3933333333334,ETH
1.7159148e+09,2952.900000000001,ETH
1.7159112e+09,2949.3441666666677,ETH
1.7159076e+09,2947.269999999999,ETH
1.715904e+09,2948.9108333333356,ETH
1.7159004e+09,2940.902500000001,ETH
1.7158968e+09,2934.9433333333322,ETH
1.7158932e+09,2938.499166666668,ETH
1.7158896e+09,2943.1724999999997,ETH
1.715886e+09,2952.010833333332,ETH
1.7158824e+09,2951.7499999999995,ETH
1.7158788e+09,2945.120833333332,ETH
1.7158752e+09,2954.8375000000024,ETH
1.7158716e+09,2953.231666666662,ETH
1.715868e+09,2970.0466666666703,ETH
1.7158644e+09,2980.9649999999997,ETH
1.7158608e+09,2996.1591666666673,ETH
1.7158572e+09,3000.112499999998,ETH
1.7158536e+09,3003.6416666666673,ETH
1.71585e+09,3007.049166666665,ETH
1.7158464e+09,3015.4899999999993,ETH
1.7158428e+09,3019.6424999999986,ETH
1.7158392e+09,3015.6566666666677,ETH
1.7158356e+09,3010.145833333331,ETH
1.715832e+09,3012.9491666666686,ETH
1.7158284e+09,3011.8133333333335,ETH
1.7158248e+09,3014.980833333334,ETH
1.7158212e+09,3021.3533333333335,ETH
1.7158176e+09,3031.862500000001,ETH
1.715814e+09,3024.923333333333,ETH
1.7158104e+09,3018.4066666666668,ETH
1.7158068e+09,3019.820833333334,ETH
1.7158032e+09,3021.9233333333323,ETH
1.7157996e+09,3010.53,ETH
1.715796e+09,2997.2191666666668,ETH
1.7157924e+09,2984.2808333333337,ETH
1.7157888e+09,2979.945833333334,ETH
1.7157852e+09,2981.9583333333344,ETH
1.7157816e+09,2964.113333333336,ETH
1.715778e+09,2956.200000000002,ETH
1.7157744e+09,2918.896666666665,ETH
1.7157708e+09,2901.616666666668,ETH
1.7157672e+09,2915.1183333333342,ETH
1.7157636e+09,2907.8074999999976,ETH
1.71576e+09,2911.2475,ETH
1.7157564e+09,2910.7575,ETH
1.7157528e+09,2907.779999999999,ETH
1.7157492e+09,2906.367499999999,ETH
1.7157456e+09,2902.2649999999985,ETH
1.715742e+09,2896.5799999999963,ETH
1.7157384e+09,2889.7400000000025,ETH
1.7157348e+09,2882.318333333331,ETH
1.7157312e+09,2884.438333333336,ETH
1.7157276e+09,2885.814999999999,ETH
1.715724e+09,2894.6758333333332,ETH
1.7157204e+09,2894.709166666666,ETH
1.7157168e+09,2896.9425,ETH
1.7157132e+09,2893.3708333333325,ETH
1.7157096e+09,2882.7558333333354,ETH
1.715706e+09,2884.2174999999997,ETH
1.7157024e+09,2893.3933333333334,ETH
1.7156988e+09,2902.945,ETH
1.7156952e+09,2896.999999999999,ETH
1.7156916e+09,2904.4341666666655,ETH
1.715688e+09,2908.265833333335,ETH
1.7156844e+09,2909.4291666666672,ETH
1.7156808e+09,2908.1666666666665,ETH
1.7156772e+09,2914.0649999999973,ETH
1.7156736e+09,2916.010833333331,ETH
1.71567e+09,2918.2191666666663,ETH
1.7156664e+09,2915.3325000000013,ETH
1.7156628e+09,2942.7425000000007,ETH
1.7156592e+09,2940.244166666666,ETH
1.7156556e+09,2946.823333333332,ETH
1.715652e+09,2949.240833333334,ETH
1.7156484e+09,2953.4291666666677,ETH
1.7156448e+09,2951.4475000000007,ETH
1.7156412e+09,2949.1658333333344,ETH
1.7156376e+09,2947.96416666667,ETH
1.715634e+09,2954.8608333333345,ETH
1.7156304e+09,2956.8458333333324,ETH
1.7156268e+09,2953.15,ETH
1.7156232e+09,2940.8283333333343,ETH
1.7156196e+09,2953.0699999999997,ETH
1.715616e+09,2967.86916666667,ETH
1.7156124e+09,2962.445833333333,ETH
1.7156088e+09,2966.834999999999,ETH
1.7156052e+09,2973.061666666666,ETH
1.7156016e+09,2967.0341666666654,ETH
1.715598e+09,2964.0424999999973,ETH
1.7155944e+09,2971.768333333335,ETH
